id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
1166,,,,,,,Xeon E7-4820 v3,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,Xeon E7-4830 v3,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,,,,Xeon E7-4850 v3,,,,,,,,,,,,,,,,,,,,,,,
1169,,,,,,,Xeon E7-8860 v3,,,,,,,,,,,,,,,,,,,,,,,
1170,,,,,,,Xeon E7-8867 v3,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,Xeon E7-8870 v3,,,,,,,,,,,,,,,,,,,,,,,
1172,,,,,,,Xeon E7-8880 v3,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,Xeon E7-8880L v3,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,Xeon E7-8890 v3,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,,,,Xeon E7-8891 v3,,,,,,,,,,,,,,,,,,,,,,,
1176,,,,,,,Xeon E7-8893 v3,,,,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,Xeon E7-2850 v2,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,Xeon E7-2870 v2,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,Xeon E7-2880 v2,,,,,,,,,,,,,,,,,,,,,,,
1180,,,,,,,Xeon E7-2890 v2,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,Xeon E7-4809 v2,,,,,,,,,,,,,,,,,,,,,,,
1182,,,,,,,Xeon E7-4820 v2,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,,,,Xeon E7-4830 v2,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,,,,Xeon E7-4850 v2,,,,,,,,,,,,,,,,,,,,,,,
1185,,,,,,,Xeon E7-4860 v2,,,,,,,,,,,,,,,,,,,,,,,
1186,,,,,,,Xeon E7-4870 v2,,,,,,,,,,,,,,,,,,,,,,,
1187,,,,,,,Xeon E7-4880 v2,,,,,,,,,,,,,,,,,,,,,,,
1188,,,,,,,Xeon E7-4890 v2,,,,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,Xeon E7-8850 v2,,,,,,,,,,,,,,,,,,,,,,,
1190,,,,,,,Xeon E7-8857 v2,,,,,,,,,,,,,,,,,,,,,,,
1191,,,,,,,Xeon E7-8870 v2,,,,,,,,,,,,,,,,,,,,,,,
1192,,,,,,,Xeon E7-8880 v2,,,,,,,,,,,,,,,,,,,,,,,
1193,,,,,,,Xeon E7-8880L v2,,,,,,,,,,,,,,,,,,,,,,,
1194,,,,,,,Xeon E7-8890 v2,,,,,,,,,,,,,,,,,,,,,,,
1195,,,,,,,Xeon E7-8891 v2,,,,,,,,,,,,,,,,,,,,,,,
1196,,,,,,,Xeon E7-8893 v2,,,,,,,,,,,,,,,,,,,,,,,
1197,,,,,,,Xeon E7-2803,,,,,,,,,,,,,,,,,,,,,,,
1198,,,,,,,Xeon E7-2820,,,,,,,,,,,,,,,,,,,,,,,
1199,,,,,,,Xeon E7-2830,,,,,,,,,,,,,,,,,,,,,,,
1200,,,,,,,Xeon E7-2850,,,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,Xeon E7-2860,,,,,,,,,,,,,,,,,,,,,,,
1202,,,,,,,Xeon E7-2870,,,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,Xeon E7-4807,,,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,Xeon E7-4820,,,,,,,,,,,,,,,,,,,,,,,
1205,,,,,,,Xeon E7-4830,,,,,,,,,,,,,,,,,,,,,,,
1206,,,,,,,Xeon E7-4850,,,,,,,,,,,,,,,,,,,,,,,
1207,,,,,,,Xeon E7-4860,,,,,,,,,,,,,,,,,,,,,,,
1208,,,,,,,Xeon E7-4870,,,,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,Xeon E7-8830,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,Xeon E7-8837,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,Xeon E7-8850,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,Xeon E7-8860,,,,,,,,,,,,,,,,,,,,,,,
1213,,,,,,,Xeon E7-8867L,,,,,,,,,,,,,,,,,,,,,,,
1214,,,,,,,Xeon E7-8870,,,,,,,,,,,,,,,,,,,,,,,
1215,,,,,,,Xeon E5-2699A v4,,,,,,,,,,,,,,,,,,,,,,,
1216,,,,,,,Xeon E5-2699R v4,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,Xeon E5-4610 v4,,,,,,,,,,,,,,,,,,,,,,,
1218,,,,,,,Xeon E5-4620 v4,,,,,,,,,,,,,,,,,,,,,,,
1219,,,,,,,Xeon E5-4627 v4,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,Xeon E5-4628L v4,,,,,,,,,,,,,,,,,,,,,,,
1221,,,,,,,Xeon E5-4640 v4,,,,,,,,,,,,,,,,,,,,,,,
1222,,,,,,,Xeon E5-4650 v4,,,,,,,,,,,,,,,,,,,,,,,
1223,,,,,,,Xeon E5-4655 v4,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,Xeon E5-4660 v4,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,,,,Xeon E5-4667 v4,,,,,,,,,,,,,,,,,,,,,,,
1226,,,,,,,Xeon E5-4669 v4,,,,,,,,,,,,,,,,,,,,,,,
1227,,,,,,,Xeon E5-1620 v4,,,,,,,,,,,,,,,,,,,,,,,
1228,,,,,,,Xeon E5-1630 v4,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,Xeon E5-1650 v4,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,Xeon E5-1660 v4,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,,,,Xeon E5-1680 v4,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,Xeon E5-2603 v4,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,,,,Xeon E5-2608L v4,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,,,,Xeon E5-2609 v4,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,,,,Xeon E5-2618L v4,,,,,,,,,,,,,,,,,,,,,,,
1236,,,,,,,Xeon E5-2620 v4,,,,,,,,,,,,,,,,,,,,,,,
1237,,,,,,,Xeon E5-2623 v4,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,,,,Xeon E5-2628L v4,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,Xeon E5-2630 v4,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,,,,Xeon E5-2630L v4,,,,,,,,,,,,,,,,,,,,,,,
1241,,,,,,,Xeon E5-2637 v4,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,,,,Xeon E5-2640 v4,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,,,,Xeon E5-2643 v4,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,Xeon E5-2648L v4,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,,,,Xeon E5-2650 v4,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,,,,Xeon E5-2650L v4,,,,,,,,,,,,,,,,,,,,,,,
1247,,,,,,,Xeon E5-2658 v4,,,,,,,,,,,,,,,,,,,,,,,
1248,,,,,,,Xeon E5-2660 v4,,,,,,,,,,,,,,,,,,,,,,,
1249,,,,,,,Xeon E5-2667 v4,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,Xeon E5-2680 v4,,,,,,,,,,,,,,,,,,,,,,,
1251,,,,,,,Xeon E5-2683 v4,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,Xeon E5-2687W v4,,,,,,,,,,,,,,,,,,,,,,,
1253,,,,,,,Xeon E5-2690 v4,,,,,,,,,,,,,,,,,,,,,,,
1254,,,,,,,Xeon E5-2695 v4,,,,,,,,,,,,,,,,,,,,,,,
1255,,,,,,,Xeon E5-2697 v4,,,,,,,,,,,,,,,,,,,,,,,
1256,,,,,,,Xeon E5-2697A v4,,,,,,,,,,,,,,,,,,,,,,,
1257,,,,,,,Xeon E5-2698 v4,,,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,Xeon E5-2699 v4,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,Xeon E5-4610 v3,,,,,,,,,,,,,,,,,,,,,,,
1260,,,,,,,Xeon E5-4620 v3,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,Xeon E5-4627 v3,,,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,Xeon E5-4640 v3,,,,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,Xeon E5-4648 v3,,,,,,,,,,,,,,,,,,,,,,,
1264,,,,,,,Xeon E5-4650 v3,,,,,,,,,,,,,,,,,,,,,,,
1265,,,,,,,Xeon E5-4655 v3,,,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,Xeon E5-4660 v3,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,,,,Xeon E5-4667 v3,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,Xeon E5-4669 v3,,,,,,,,,,,,,,,,,,,,,,,
1269,,,,,,,Xeon E5-2658A v3,,,,,,,,,,,,,,,,,,,,,,,
1270,,,,,,,Xeon E5-1428L v3,,,,,,,,,,,,,,,,,,,,,,,
1271,,,,,,,Xeon E5-2408L v3,,,,,,,,,,,,,,,,,,,,,,,
1272,,,,,,,Xeon E5-2418L v3,,,,,,,,,,,,,,,,,,,,,,,
1273,,,,,,,Xeon E5-2428L v3,,,,,,,,,,,,,,,,,,,,,,,
1274,,,,,,,Xeon E5-2438L v3,,,,,,,,,,,,,,,,,,,,,,,
1275,,,,,,,Xeon E5-1620 v3,,,,,,,,,,,,,,,,,,,,,,,
1276,,,,,,,Xeon E5-1630 v3,,,,,,,,,,,,,,,,,,,,,,,
1277,,,,,,,Xeon E5-1650 v3,,,,,,,,,,,,,,,,,,,,,,,
1278,,,,,,,Xeon E5-1660 v3,,,,,,,,,,,,,,,,,,,,,,,
1279,,,,,,,Xeon E5-1680 v3,,,,,,,,,,,,,,,,,,,,,,,
1280,,,,,,,Xeon E5-2603 v3,,,,,,,,,,,,,,,,,,,,,,,
1281,,,,,,,Xeon E5-2608L v3,,,,,,,,,,,,,,,,,,,,,,,
1282,,,,,,,Xeon E5-2609 v3,,,,,,,,,,,,,,,,,,,,,,,
1283,,,,,,,Xeon E5-2618L v3,,,,,,,,,,,,,,,,,,,,,,,
1284,,,,,,,Xeon E5-2620 v3,,,,,,,,,,,,,,,,,,,,,,,
1285,,,,,,,Xeon E5-2623 v3,,,,,,,,,,,,,,,,,,,,,,,
1286,,,,,,,Xeon E5-2628L v3,,,,,,,,,,,,,,,,,,,,,,,
1287,,,,,,,Xeon E5-2630 v3,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,,,,Xeon E5-2630L v3,,,,,,,,,,,,,,,,,,,,,,,
1289,,,,,,,Xeon E5-2637 v3,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,Xeon E5-2640 v3,,,,,,,,,,,,,,,,,,,,,,,
1291,,,,,,,Xeon E5-2643 v3,,,,,,,,,,,,,,,,,,,,,,,
1292,,,,,,,Xeon E5-2648L v3,,,,,,,,,,,,,,,,,,,,,,,
1293,,,,,,,Xeon E5-2650 v3,,,,,,,,,,,,,,,,,,,,,,,
1294,,,,,,,Xeon E5-2650L v3,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,Xeon E5-2658 v3,,,,,,,,,,,,,,,,,,,,,,,
1296,,,,,,,Xeon E5-2660 v3,,,,,,,,,,,,,,,,,,,,,,,
1297,,,,,,,Xeon E5-2667 v3,,,,,,,,,,,,,,,,,,,,,,,
1298,,,,,,,Xeon E5-2670 v3,,,,,,,,,,,,,,,,,,,,,,,
1299,,,,,,,Xeon E5-2680 v3,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,Xeon E5-2683 v3,,,,,,,,,,,,,,,,,,,,,,,
1301,,,,,,,Xeon E5-2687W v3,,,,,,,,,,,,,,,,,,,,,,,
1302,,,,,,,Xeon E5-2690 v3,,,,,,,,,,,,,,,,,,,,,,,
1303,,,,,,,Xeon E5-2695 v3,,,,,,,,,,,,,,,,,,,,,,,
1304,,,,,,,Xeon E5-2697 v3,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,,,,Xeon E5-2698 v3,,,,,,,,,,,,,,,,,,,,,,,
1306,,,,,,,Xeon E5-2699 v3,,,,,,,,,,,,,,,,,,,,,,,
1307,,,,,,,Xeon E5-4603 v2,,,,,,,,,,,,,,,,,,,,,,,
1308,,,,,,,Xeon E5-4607 v2,,,,,,,,,,,,,,,,,,,,,,,
1309,,,,,,,Xeon E5-4610 v2,,,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,Xeon E5-4620 v2,,,,,,,,,,,,,,,,,,,,,,,
1311,,,,,,,Xeon E5-4624 v2,,,,,,,,,,,,,,,,,,,,,,,
1312,,,,,,,Xeon E5-4627 v2,,,,,,,,,,,,,,,,,,,,,,,
1313,,,,,,,Xeon E5-4640 v2,,,,,,,,,,,,,,,,,,,,,,,
1314,,,,,,,Xeon E5-4650 v2,,,,,,,,,,,,,,,,,,,,,,,
1315,,,,,,,Xeon E5-4657L v2,,,,,,,,,,,,,,,,,,,,,,,
1316,,,,,,,Xeon E5-1428L v2,,,,,,,,,,,,,,,,,,,,,,,
1317,,,,,,,Xeon E5-2403 v2,,,,,,,,,,,,,,,,,,,,,,,
1318,,,,,,,Xeon E5-2407 v2,,,,,,,,,,,,,,,,,,,,,,,
1319,,,,,,,Xeon E5-2418L v2,,,,,,,,,,,,,,,,,,,,,,,
1320,,,,,,,Xeon E5-2420 v2,,,,,,,,,,,,,,,,,,,,,,,
1321,,,,,,,Xeon E5-2428L v2,,,,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,Xeon E5-2430 v2,,,,,,,,,,,,,,,,,,,,,,,
1323,,,,,,,Xeon E5-2430 v2,,,,,,,,,,,,,,,,,,,,,,,
1324,,,,,,,Xeon E5-2440 v2,,,,,,,,,,,,,,,,,,,,,,,
1325,,,,,,,Xeon E5-2448L v2,,,,,,,,,,,,,,,,,,,,,,,
1326,,,,,,,Xeon E5-2450 v2,,,,,,,,,,,,,,,,,,,,,,,
1327,,,,,,,Xeon E5-2450L v2,,,,,,,,,,,,,,,,,,,,,,,
1328,,,,,,,Xeon E5-2470 v2,,,,,,,,,,,,,,,,,,,,,,,
1329,,,,,,,Xeon E5-1620 v2,,,,,,,,,,,,,,,,,,,,,,,
1330,,,,,,,Xeon E5-1650 v2,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,,,,Xeon E5-1660 v2,,,,,,,,,,,,,,,,,,,,,,,
1332,,,,,,,Xeon E5-2603 v2,,,,,,,,,,,,,,,,,,,,,,,
1333,,,,,,,Xeon E5-2609 v2,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,Xeon E5-2618L v2,,,,,,,,,,,,,,,,,,,,,,,
1335,,,,,,,Xeon E5-2620 v2,,,,,,,,,,,,,,,,,,,,,,,
1336,,,,,,,Xeon E5-2628L v2,,,,,,,,,,,,,,,,,,,,,,,
1337,,,,,,,Xeon E5-2630 v2,,,,,,,,,,,,,,,,,,,,,,,
1338,,,,,,,Xeon E5-2630L v2,,,,,,,,,,,,,,,,,,,,,,,
1339,,,,,,,Xeon E5-2637 v2,,,,,,,,,,,,,,,,,,,,,,,
1340,,,,,,,Xeon E5-2640 v2,,,,,,,,,,,,,,,,,,,,,,,
1341,,,,,,,Xeon E5-2643 v2,,,,,,,,,,,,,,,,,,,,,,,
1342,,,,,,,Xeon E5-2648L v2,,,,,,,,,,,,,,,,,,,,,,,
1343,,,,,,,Xeon E5-2650 v2,,,,,,,,,,,,,,,,,,,,,,,
1344,,,,,,,Xeon E5-2650L v2,,,,,,,,,,,,,,,,,,,,,,,
1345,,,,,,,Xeon E5-2658 v2,,,,,,,,,,,,,,,,,,,,,,,
1346,,,,,,,Xeon E5-2660 v2,,,,,,,,,,,,,,,,,,,,,,,
1347,,,,,,,Xeon E5-2667 v2,,,,,,,,,,,,,,,,,,,,,,,
1348,,,,,,,Xeon E5-2670 v2,,,,,,,,,,,,,,,,,,,,,,,
1349,,,,,,,Xeon E5-2680 v2,,,,,,,,,,,,,,,,,,,,,,,
1350,,,,,,,Xeon E5-2687W v2,,,,,,,,,,,,,,,,,,,,,,,
1351,,,,,,,Xeon E5-2690 v2,,,,,,,,,,,,,,,,,,,,,,,
1352,,,,,,,Xeon E5-2695 v2,,,,,,,,,,,,,,,,,,,,,,,
1353,,,,,,,Xeon E5-2697 v2,,,,,,,,,,,,,,,,,,,,,,,
1354,,,,,,,Xeon E5-1428L,,,,,,,,,,,,,,,,,,,,,,,
1355,,,,,,,Xeon E5-2403,,,,,,,,,,,,,,,,,,,,,,,
1356,,,,,,,Xeon E5-2407,,,,,,,,,,,,,,,,,,,,,,,
1357,,,,,,,Xeon E5-2418L,,,,,,,,,,,,,,,,,,,,,,,
1358,,,,,,,Xeon E5-2420,,,,,,,,,,,,,,,,,,,,,,,
1359,,,,,,,Xeon E5-2428L,,,,,,,,,,,,,,,,,,,,,,,
1360,,,,,,,Xeon E5-2430,,,,,,,,,,,,,,,,,,,,,,,
1361,,,,,,,Xeon E5-2430L,,,,,,,,,,,,,,,,,,,,,,,
1362,,,,,,,Xeon E5-2440,,,,,,,,,,,,,,,,,,,,,,,
1363,,,,,,,Xeon E5-2448L,,,,,,,,,,,,,,,,,,,,,,,
1364,,,,,,,Xeon E5-2450,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,Xeon E5-2450L,,,,,,,,,,,,,,,,,,,,,,,
1366,,,,,,,Xeon E5-2470,,,,,,,,,,,,,,,,,,,,,,,
1367,,,,,,,Xeon E5-4603,,,,,,,,,,,,,,,,,,,,,,,
1368,,,,,,,Xeon E5-4607,,,,,,,,,,,,,,,,,,,,,,,
1369,,,,,,,Xeon E5-4610,,,,,,,,,,,,,,,,,,,,,,,
1370,,,,,,,Xeon E5-4617,,,,,,,,,,,,,,,,,,,,,,,
1371,,,,,,,Xeon E5-4620,,,,,,,,,,,,,,,,,,,,,,,
1372,,,,,,,Xeon E5-4640,,,,,,,,,,,,,,,,,,,,,,,
1373,,,,,,,Xeon E5-4650,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,Xeon E5-4650L,,,,,,,,,,,,,,,,,,,,,,,
1375,,,,,,,Xeon E5-1620,,,,,,,,,,,,,,,,,,,,,,,
1376,,,,,,,Xeon E5-1650,,,,,,,,,,,,,,,,,,,,,,,
1377,,,,,,,Xeon E5-1660,,,,,,,,,,,,,,,,,,,,,,,
1378,,,,,,,Xeon E5-2603,,,,,,,,,,,,,,,,,,,,,,,
1379,,,,,,,Xeon E5-2609,,,,,,,,,,,,,,,,,,,,,,,
1380,,,,,,,Xeon E5-2620,,,,,,,,,,,,,,,,,,,,,,,
1381,,,,,,,Xeon E5-2630,,,,,,,,,,,,,,,,,,,,,,,
1382,,,,,,,Xeon E5-2630L,,,,,,,,,,,,,,,,,,,,,,,
1383,,,,,,,Xeon E5-2637,,,,,,,,,,,,,,,,,,,,,,,
1384,,,,,,,Xeon E5-2640,,,,,,,,,,,,,,,,,,,,,,,
1385,,,,,,,Xeon E5-2643,,,,,,,,,,,,,,,,,,,,,,,
1386,,,,,,,Xeon E5-2648L,,,,,,,,,,,,,,,,,,,,,,,
1387,,,,,,,Xeon E5-2650,,,,,,,,,,,,,,,,,,,,,,,
1388,,,,,,,Xeon E5-2650L,,,,,,,,,,,,,,,,,,,,,,,
1389,,,,,,,Xeon E5-2658,,,,,,,,,,,,,,,,,,,,,,,
1390,,,,,,,Xeon E5-2660,,,,,,,,,,,,,,,,,,,,,,,
1391,,,,,,,Xeon E5-2665,,,,,,,,,,,,,,,,,,,,,,,
1392,,,,,,,Xeon E5-2667,,,,,,,,,,,,,,,,,,,,,,,
1393,,,,,,,Xeon E5-2670,,,,,,,,,,,,,,,,,,,,,,,
1394,,,,,,,Xeon E5-2680,,,,,,,,,,,,,,,,,,,,,,,
1395,,,,,,,Xeon E5-2687W,,,,,,,,,,,,,,,,,,,,,,,
1396,,,,,,,Xeon E5-2690,,,,,,,,,,,,,,,,,,,,,,,
1397,,,,,,,Xeon E3-1285 v6,,,,,,,,,,,,,,,,,,,,,,,
1398,,,,,,,Xeon E3-1501L v6,,,,,,,,,,,,,,,,,,,,,,,
1399,,,,,,,Xeon E3-1501M v6,,,,,,,,,,,,,,,,,,,,,,,
1400,,,,,,,Xeon E3-1220 v6,,,,,,,,,,,,,,,,,,,,,,,
1401,,,,,,,Xeon E3-1225 v6,,,,,,,,,,,,,,,,,,,,,,,
1402,,,,,,,Xeon E3-1230 v6,,,,,,,,,,,,,,,,,,,,,,,
1403,,,,,,,Xeon E3-1240 v6,,,,,,,,,,,,,,,,,,,,,,,
1404,,,,,,,Xeon E3-1245 v6,,,,,,,,,,,,,,,,,,,,,,,
1405,,,,,,,Xeon E3-1270 v6,,,,,,,,,,,,,,,,,,,,,,,
1406,,,,,,,Xeon E3-1275 v6,,,,,,,,,,,,,,,,,,,,,,,
1407,,,,,,,Xeon E3-1280 v6,,,,,,,,,,,,,,,,,,,,,,,
1408,,,,,,,Xeon E3-1505L v6,,,,,,,,,,,,,,,,,,,,,,,
1409,,,,,,,Xeon E3-1505M v6,,,,,,,,,,,,,,,,,,,,,,,
1410,,,,,,,Xeon E3-1535M v6,,,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,Xeon E3-1558L v5,,,,,,,,,,,,,,,,,,,,,,,
1412,,,,,,,Xeon E3-1565L v5,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,Xeon E3-1578L v5,,,,,,,,,,,,,,,,,,,,,,,
1414,,,,,,,Xeon E3-1585 v5,,,,,,,,,,,,,,,,,,,,,,,
1415,,,,,,,Xeon E3-1585L v5,,,,,,,,,,,,,,,,,,,,,,,
1416,,,,,,,Xeon E3-1515M v5,,,,,,,,,,,,,,,,,,,,,,,
1417,,,,,,,Xeon E3-1545M v5,,,,,,,,,,,,,,,,,,,,,,,
1418,,,,,,,Xeon E3-1575M v5,,,,,,,,,,,,,,,,,,,,,,,
1419,,,,,,,Xeon E3-1220 v5,,,,,,,,,,,,,,,,,,,,,,,
1420,,,,,,,Xeon E3-1225 v5,,,,,,,,,,,,,,,,,,,,,,,
1421,,,,,,,Xeon E3-1230 v5,,,,,,,,,,,,,,,,,,,,,,,
1422,,,,,,,Xeon E3-1235L v5,,,,,,,,,,,,,,,,,,,,,,,
1423,,,,,,,Xeon E3-1240 v5,,,,,,,,,,,,,,,,,,,,,,,
1424,,,,,,,Xeon E3-1240L v5,,,,,,,,,,,,,,,,,,,,,,,
1425,,,,,,,Xeon E3-1245 v5,,,,,,,,,,,,,,,,,,,,,,,
1426,,,,,,,Xeon E3-1260L v5,,,,,,,,,,,,,,,,,,,,,,,
1427,,,,,,,Xeon E3-1268L v5,,,,,,,,,,,,,,,,,,,,,,,
1428,,,,,,,Xeon E3-1270 v5,,,,,,,,,,,,,,,,,,,,,,,
1429,,,,,,,Xeon E3-1275 v5,,,,,,,,,,,,,,,,,,,,,,,
1430,,,,,,,Xeon E3-1280 v5,,,,,,,,,,,,,,,,,,,,,,,
1431,,,,,,,Xeon E3-1505L v5,,,,,,,,,,,,,,,,,,,,,,,
1432,,,,,,,Xeon E3-1505M v5,,,,,,,,,,,,,,,,,,,,,,,
1433,,,,,,,Xeon E3-1535M v5,,,,,,,,,,,,,,,,,,,,,,,
1434,,,,,,,Xeon E3-1258L v4,,,,,,,,,,,,,,,,,,,,,,,
1435,,,,,,,Xeon E3-1265L v4,,,,,,,,,,,,,,,,,,,,,,,
1436,,,,,,,Xeon E3-1278L v4,,,,,,,,,,,,,,,,,,,,,,,
1437,,,,,,,Xeon E3-1285 v4,,,,,,,,,,,,,,,,,,,,,,,
1438,,,,,,,Xeon E3-1285L v4,,,,,,,,,,,,,,,,,,,,,,,
1439,,,,,,,Xeon E3-1226 v3,,,,,,,,,,,,,,,,,,,,,,,
1440,,,,,,,Xeon E3-1231 v3,,,,,,,,,,,,,,,,,,,,,,,
1441,,,,,,,Xeon E3-1240L v3,,,,,,,,,,,,,,,,,,,,,,,
1442,,,,,,,Xeon E3-1241 v3,,,,,,,,,,,,,,,,,,,,,,,
1443,,,,,,,Xeon E3-1246 v3,,,,,,,,,,,,,,,,,,,,,,,
1444,,,,,,,Xeon E3-1271 v3,,,,,,,,,,,,,,,,,,,,,,,
1445,,,,,,,Xeon E3-1275L v3,,,,,,,,,,,,,,,,,,,,,,,
1446,,,,,,,Xeon E3-1276 v3,,,,,,,,,,,,,,,,,,,,,,,
1447,,,,,,,Xeon E3-1281 v3,,,,,,,,,,,,,,,,,,,,,,,
1448,,,,,,,Xeon E3-1286 v3,,,,,,,,,,,,,,,,,,,,,,,
1449,,,,,,,Xeon E3-1286L v3,,,,,,,,,,,,,,,,,,,,,,,
1450,,,,,,,Xeon E3-1220L v3,,,,,,,,,,,,,,,,,,,,,,,
1451,,,,,,,Xeon E3-1220 v3,,,,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,Xeon E3-1225 v3,,,,,,,,,,,,,,,,,,,,,,,
1453,,,,,,,Xeon E3-1230 v3,,,,,,,,,,,,,,,,,,,,,,,
1454,,,,,,,Xeon E3-1230L v3,,,,,,,,,,,,,,,,,,,,,,,
1455,,,,,,,Xeon E3-1240 v3,,,,,,,,,,,,,,,,,,,,,,,
1456,,,,,,,Xeon E3-1245 v3,,,,,,,,,,,,,,,,,,,,,,,
1457,,,,,,,Xeon E3-1265L v3,,,,,,,,,,,,,,,,,,,,,,,
1458,,,,,,,Xeon E3-1268L v3,,,,,,,,,,,,,,,,,,,,,,,
1459,,,,,,,Xeon E3-1270 v3,,,,,,,,,,,,,,,,,,,,,,,
1460,,,,,,,Xeon E3-1275 v3,,,,,,,,,,,,,,,,,,,,,,,
1461,,,,,,,Xeon E3-1280 v3,,,,,,,,,,,,,,,,,,,,,,,
1462,,,,,,,Xeon E3-1285 v3,,,,,,,,,,,,,,,,,,,,,,,
1463,,,,,,,Xeon E3-1285L v3,,,,,,,,,,,,,,,,,,,,,,,
1464,,,,,,,Xeon E3-1105C v2,,,,,,,,,,,,,,,,,,,,,,,
1465,,,,,,,Xeon E3-1125C v2,,,,,,,,,,,,,,,,,,,,,,,
1466,,,,,,,Xeon E3-1220 v2,,,,,,,,,,,,,,,,,,,,,,,
1467,,,,,,,Xeon E3-1220L v2,,,,,,,,,,,,,,,,,,,,,,,
1468,,,,,,,Xeon E3-1225 v2,,,,,,,,,,,,,,,,,,,,,,,
1469,,,,,,,Xeon E3-1230 v2,,,,,,,,,,,,,,,,,,,,,,,
1470,,,,,,,Xeon E3-1240 v2,,,,,,,,,,,,,,,,,,,,,,,
1471,,,,,,,Xeon E3-1245 v2,,,,,,,,,,,,,,,,,,,,,,,
1472,,,,,,,Xeon E3-1265L v2,,,,,,,,,,,,,,,,,,,,,,,
